annee;code_essai;commune;numero_departement;modalite;BenR;StrR;CarR;TriS;TriLR;TriMR;TriR6;TriR7-R8;MDR;TriHR
2018;dajnciznzucbnz;Tourailles;41;TNT;80;90;0;0;0;80;20;60;0;20
2018;dajnciznzucbnz;Tourailles;41;TNT;85;95;0;0;5;75;15;60;0;20
2018;JR117;Teillé;44;TNT;35;100;0;0;0;75;15;60;0;25
2018;dajnciznzucbnz;Tourailles;41;TNT;90;100;0;0;0;85;20;65;0;15
2018;dajnciznzucbnz;Tourailles;41;TNT;90;100;0;0;0;95;0;95;0;5
2018;138773;Aubigny aux kaisnes;2;TNT;85;100;0;0;0;80;15;65;0;20
2018;138777;Aubigny aux kaisnes;2;TNT;90;100;0;0;0;90;5;85;0;10
2018;138777;Aubigny aux kaisnes;2;TNT;60;100;0;0;0;85;10;75;0;15
2018;LG 110;Fresnes en woevre;55;TNT;100;100;0;0;0;80;10;70;0;20
2018;FP18FRAC42ZEUI;Castelsarrasin;82;TNT;80;100;0;0;0;90;25;65;0;10
2018;FP18FRAC42ZEUI;Castelsarrasin;82;TR;100;100;0;0;0;90;0;90;0;10
2018;FP18FRAC42ZEUI;Castelsarrasin;82;TR;80;100;0;0;0;90;0;90;0;10
2018;FP18FRAC42ZEUI;Castelsarrasin;82;TR;75;100;0;0;0;100;10;90;0;0
2018;lcsjbhvcozhcbvbzjec;Tourailles;41;TNT;35;100;0;0;0;80;15;65;0;20
2018;lcsjbhvcozhcbvbzjec;Tourailles;41;TNT;45;100;0;0;5;75;15;60;0;20
2018;lcsjbhvcozhcbvbzjec;Tourailles;41;TR;20;100;0;0;10;85;5;80;0;5
2018;lcsjbhvcozhcbvbzjec;Tourailles;41;TR;80;100;0;0;0;70;20;50;0;30
2018;lcsjbhvcozhcbvbzjec;Tourailles;41;TR;80;100;0;0;0;90;30;60;0;10
2018;138778;Montans;81;TNT;75;100;0;0;0;85;25;60;0;15
2018;138778;Montans;81;TR;100;100;0;0;5;95;10;85;0;0
2018;138778;Montans;81;TR;90;80;0;0;0;100;10;90;0;0
2018;zbvchzjcjnaebcizbc;Villons les buissons;14;TNT;95;100;0;0;0;35;35;0;0;65
2018;FRANTF174;Marboué;28;TNT;90;95;0;0;0;85;20;65;5;10
2018;138776;Gilly Lés Cîteaux;21;TNT;90;100;0;0;0;85;5;80;5;10
2018;138776;Gilly Lés Cîteaux;21;TR;40;100;0;0;0;100;10;90;0;0
2018;138776;Gilly Lés Cîteaux;21;TR;50;100;0;0;10;70;0;70;0;20
2018;138776;Gilly Lés Cîteaux;21;TR;50;100;0;0;10;85;0;85;0;5
2018;CAT_5;La Rouxiere;44;TNT;80;100;0;0;0;20;20;0;0;80
2018;C75;Lusignan;86;TNT;50;100;0;0;0;20;20;0;0;80
2018;C75;Lusignan;86;TR;75;100;0;0;0;50;15;35;0;50
2018;C75;Lusignan;86;TR;80;100;0;0;0;75;10;65;0;25
2018;C75;Lusignan;86;TR;30;100;0;0;0;80;70;10;0;20
2018;C75;Lusignan;86;TR;50;100;0;0;0;50;30;20;0;50
2018;C75;Lusignan;86;TR;100;100;0;0;0;40;40;0;0;60
2018;C75;Lusignan;86;TR;100;100;0;0;0;70;25;45;0;30
2018;C75;Lusignan;86;TR;80;95;0;0;0;55;50;5;0;45
2018;C75;Lusignan;86;TR;90;100;0;0;0;70;70;0;0;30
2018;C75;Lusignan;86;TR;90;100;0;0;10;10;10;0;0;80
2018;C75;Lusignan;86;TR;60;100;0;0;5;45;45;0;0;50
2018;C75;Lusignan;86;TR;80;100;0;0;5;10;10;0;0;85
2018;C75;Lusignan;86;TR;80;95;0;0;0;45;45;0;0;55
2018;C75;Lusignan;86;TR;85;100;0;0;0;50;50;0;0;50
2018;GF136;Varois et Chaignot;21;TNT;90;100;0;0;0;85;15;70;5;10
2018;2018-10;Combertault;21;TNT;95;95;0;0;0;80;10;70;5;15
2018;2018-10;Combertault;21;TR;100;100;0;0;10;50;15;35;0;40
2018;2018-10;Combertault;21;TR;100;100;0;0;0;20;20;0;15;65
2018;2018-10;Combertault;21;TR;90;100;0;0;0;30;30;0;15;55
2018;2018-10;Combertault;21;TR;90;95;0;0;0;75;75;0;20;5
2018;2018-10;Combertault;21;TR;100;100;0;0;5;30;30;0;10;55
2018;2018-10;Combertault;21;TR;95;100;0;0;0;20;20;0;35;45
2018;2018-10;Combertault;21;TR;100;100;0;0;0;40;30;10;10;50
2018;143755;Varaize;17;TNT;100;100;0;0;0;50;50;0;0;50
2018;138790;Bignan;56;TNT;95;100;25;0;0;10;10;0;5;85
2018;138789;Bergerac;24;TNT;40;100;0;0;0;60;40;20;0;40
2018;138780;Bergerac;24;TNT;45;100;0;0;0;60;40;20;0;40
2018;138780;Bergerac;24;TNT;60;100;0;0;0;10;10;0;0;90
2018;138780;Bergerac;24;TNT;50;100;0;0;0;25;25;0;0;75
2018;144108;Saint Mathurin sur loire;49;TNT;45;100;0;0;0;50;50;0;0;50
2018;144108;Saint Mathurin sur loire;49;TR;60;100;0;0;0;20;20;0;0;80
2018;144108;Saint Mathurin sur loire;49;TR;100;100;0;0;0;70;15;55;0;30
2018;144108;Saint Mathurin sur loire;49;TR;95;100;0;0;0;70;50;20;0;30
2018;144108;Saint Mathurin sur loire;49;TR;100;100;0;0;0;30;30;0;0;70
2018;CAT_4;Juvigné;53;TNT;45;100;0;0;0;0;0;0;20;80
2018;143787;Le Subdray;18;TNT;70;90;0;0;0;75;20;55;0;25
2018;2018-17;Saint Nicolas les citeaux;21;TNT;65;100;0;0;0;60;50;10;30;10
2018;2018-17;Saint Nicolas les citeaux;21;TR;60;100;0;0;0;85;45;40;15;0
2018;2018-17;Saint Nicolas les citeaux;21;TR;50;100;0;0;0;50;25;25;25;25
2018;2018-17;Saint Nicolas les citeaux;21;TR;100;100;0;0;0;20;20;0;30;50
2018;2018-17;Saint Nicolas les citeaux;21;TR;40;100;0;0;0;50;40;10;10;40
2018;2018-17;Saint Nicolas les citeaux;21;TR;90;100;0;0;0;85;35;50;15;0
2018;127784;Mereville;91;TNT;70;100;0;0;0;85;15;70;15;0
2018;127784;Mereville;91;TR;90;100;0;0;0;100;10;90;0;0
2018;127784;Mereville;91;TR;95;100;0;0;0;95;15;80;5;0
2018;okjhgvchuqsvczuicvz;Chavagnes;49;;80;100;0;0;10;50;50;0;10;30
2018;okjhgvchuqsvczuicvz;Chavagnes;49;;75;100;0;0;0;65;65;0;0;35
2018;okjhgvchuqsvczuicvz;Chavagnes;49;;100;100;15;0;0;75;10;65;0;25
2018;okjhgvchuqsvczuicvz;Chavagnes;49;;10;100;0;0;0;50;10;40;0;50
2018;okjhgvchuqsvczuicvz;Chavagnes;49;;80;100;0;0;0;40;20;20;0;60
2018;okjhgvchuqsvczuicvz;Chavagnes;49;;40;100;0;0;0;85;20;65;0;15
2018;ZAN1;Medavy;61;;30;100;0;0;0;80;20;60;0;20
2018;ZAN1;Medavy;61;;30;100;0;0;0;75;15;60;0;25
2018;ZAN1;Medavy;61;;80;100;0;0;0;30;5;25;0;70
2018;127784;Isse;51;TNT;100;100;0;0;0;60;0;60;0;40
2018;127784;Isse;51;TR;100;100;0;0;0;85;0;85;0;15
2018;I3T14S1;Abbeville;80;TR;100;100;0;0;0;45;0;45;0;55
2018;138781;Aubigny aux kaisnes;2;TNT;100;100;0;0;0;60;0;60;0;40
2018;138781;Aubigny aux kaisnes;2;TR;100;100;0;0;0;95;5;90;0;5
2018;138781;Aubigny aux kaisnes;2;TR;100;100;0;0;0;90;0;90;0;10
2018;138773;Aubigny aux kaisnes;2;TNT;100;100;0;0;0;80;80;0;20;0
2018;138773;Aubigny aux kaisnes;2;TR;100;100;0;0;0;85;10;75;0;15
2018;138773;Aubigny aux kaisnes;2;TR;100;100;0;0;0;30;30;0;0;70
2018;138773;Aubigny aux kaisnes;2;TR;95;100;0;0;0;50;10;40;0;50
2018;138773;Aubigny aux kaisnes;2;TR;100;100;0;0;0;70;30;40;0;30
2018;143756;Cosse le vivien;53;TNT;60;100;0;0;10;20;20;0;0;70
2018;143757;Cosse le vivien;53;TR;50;100;5;0;0;20;20;0;0;80
2018;143758;Cosse le vivien;53;TR;50;100;0;0;0;10;10;0;0;90
2018;143759;Cosse le vivien;53;TR;100;100;0;0;10;55;30;25;0;35
